Term,Synonyms,Definition
paraphysis ,paraphyses,"a sterile filament, or cell usually associated with the reproductive organs. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
parasporangium,,"a sporangium that forms more than 4 spores, with at least the first division being mitotic; thus, it is not a tetrasporangium. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
paraspore,,"spore released by a parasporangium. (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
paraspores,,"spores in 3n fronds of the ceramiaceae that grow into the next generation; not homologous to tetrasporangia. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
paratype,,"a specimen or illustration cited in the protologue that is neither the holotype nor an isotype, nor one of the syntypes if two or more specimens were simultaneously designated as types. (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
parenchyma,,"compact tissue formed by cell division in all planes. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
parenchyma ,parenchymatous,"a compact tissue of thin-walled isodiametric cells. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
parenchymatous,,"a tissue of thin-walled, more or less isodiametric cells, derived by division in different planes. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
parent cell,,"the initial source or origin of subsequent cells (structures). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
parietal,,"lying along the wall, peripheral to the cell. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
parthenogenesis,,"development of gametes without fertilization. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
parthenogenetic,,"developing without fertilization. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
patent,,"spreading. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
pectinate,,"with branches restricted to one side of the axis (teeth of a comb). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
pedicel,,"a stalk of a reproductive organ. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
pedicel ,pedicellate,"a stalk of a reproductive organ. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
pedicellate,,"borne on a pedicel. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
pelagic,,"free-floating or not attached. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
peltate,,"a circular blade attached by a central stalk on the ventral surface. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
peltoid,,"prostrate and more or less disc-like; contrasting with trichoid. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
penicillate,,"brush-like or pencil-shaped. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
percurrent,,"extending throughout the entire length of a structure; usually said of a persistent axis. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
perennate,,"thalli (or portion) that can live through a number of years, usually with an annual quiescent period, or survive for an indefinite number of years. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
perennial,,"lasting more than two years. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
perfoliate,,"a stem-like portion that extends through the center of a blade. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
perforate ,perforated,"full of holes, having many pores. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
periaxial cell ,pericentral cell,"one of a number, often a ring, of cells cut off from and surrounding an axial cell (e.g. fig. 97e). (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
pericarp,,"the haploid gametophytic tissue of a cystocarp that surrounds the diploid gonimoblast in some red algae. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
periclinal,,"parallel to the surface. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
pericyst,,"a peripheral cell differing in size, colour and contents, and functioning as a dormant initial (sphacelariales). (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
pericysts,,"darkly pigmented cells in members of the spacelariaceae; their presence is a useful taxonomic feature. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
peridinal,,"being parallel to a designated surface (see anticlinal). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
periphery,,"on the circumference of the cell or structure. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
perithallial filaments,,"name sometimes used for erect filaments or cortex (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
perithallus ,perithalli,"the central tissue of a crustose alga that is produced inwardly by an intercalary meristem. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
petiolate,,"stalked leaves, vesicles or other macroscopic organs. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
phaeophyceae ,phaeophycean,"class of brown algae. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
phaeophycean hair,,"a filament (without phaeoplasts) of uniseriate cells developing from a basal meristem of few to several dividing cells. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
phaeophycean hairs,,"colorless, endogenous, uniseriate filaments in some brown algae with a distinct basal meristem and a basal collar or sheath (see true hairs). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
phaeoplast,,"the photosynthetic plastid of brown algae, distinguished by its brown colour, presence of fucoxanthin and other pigments, and thylakoids in groups of three. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
phenotype,,"morphology resulting from combined effects of genotype and environment. (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
phragmoplast,,"an assemblage of microtubules parallel to the spindle axis at telophase of mitosis, across which the cell plate develops. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
phycobilins,,"protein-bound, water-soluble pigments in members of the cryptophyta, cyanobacteria, and rhodophyta; the pigments reflect red and blue light. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
phycobiliproteins,,"red (phycoerythrin) and blue (phycocyanin) pigments present with chlorophylls in red algae and cyanobacteria that assist in photosynthesis by transferring light energy that they absorb to chlorophyll. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
phycobilisome,,"a small particle present on photosynthetic lamellae of red algae and cyanobacteria which comprise phycobiliproteins. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
phycocolloid,,"colloidal or mucilaginous substances in cell walls of seaweeds (e.g., agar, carrageenan, laminaran), which are extracted for their stabilizing, thickening, and gelling properties. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
phycocyanin,,"a blue light reflecting phycobilin pigment. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
phycoerythrin,,"see entry for phycobiliproteins. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
phyllospore,,"spore produced by the blade phase where the ploidy level and development are unknown. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
phyllospores,,"in the bangiales, spores produced by the blade phase where the ploidy level and development are unknown. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
phylum,,"a major group of plants, equivalent to division. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
phylum ,phyla,"division). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
physodes,,"vesicle-like globules in cells of most brown algae, containing phenolic compounds. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
piliferous,,"bearing hairs or setae. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
pinna ,pinnule,"ultimate branches or branchlets in pinnately branched axes. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
pinnate,,"(see fig. 23) flattened in one plane, with pinnae or side branches. receptacle often swollen part of the thallus bearing reproductive structures called conceptacles (particularly in the fucaceae). 'fruiting bodies'. (source: Hiscock Brown)."
pinnate ,pinnate branching,"with branches arranged in 2 rows on opposite sides of an axis; also in pairs or alternating like a feather. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
pinnatifid,,"deeply incised in a semi-pinnate manner. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
pit connection,,"small pore between adjacent cells, occluded by a plug. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
pit-connection,,"a cytoplasmic strand connecting two adjacent cells through a pit in their wall. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
placenta,,"in the red algae, a large cell usually consisting of fused fertile tissue and bearing gonimoblastic filaments of carposporangia; a part of a cystocarp to which carpospores are attached. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
planozygote,,"a motile (flagellated) zygote. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
plasticity,,"the capacity of an organism to change its form in response to varying environmental conditions. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
plastid,,"cell organelle enclosed by a double membrane which in red algae contain thylakoids and photosynthetic pigments. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
pleiomorphy,,"the ability of organisms to exhibit two or more different forms in their life history. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
pleomorphic,,"having many forms or with 2 or more distinct states in an alga's life history. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
plesiomorph,,a primitive character expression (source: Algaebase (2021-05)).
plethysmothallus,,"a haploid or diploid microthallic phase capable of asexual multiplication by zoospores. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
plethysmothallus ,plethysmothalli,"a diploid filamentous stage of some brown algae that can recycle itself by means of zoospores or initiate an upright foliose blade. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
